ID,Author(s),Blog Post,Publish Date,Blog Site
30,Howard Rheingold,"Feminist Theory, Online Action, and Networked Learning",3/6/14,http://dmlcentral.net/blog/howard-rheingold/feminist-theory-online-action-and-networked-learning
31,James Smithies,Introduce data mining to your History course in 2 minutes,3/6/14,http://jamessmithies.org/2014/02/22/introduce-data-mining-to-your-history-course-in-2-minutes/
32,Sheila Brennan,A Brief History of @MallHistories,3/10/14,http://www.lotfortynine.org/2014/03/check-out-mallhistories/
33,Collin Gifford Brooke,Close vs Distant Readings #rcdh14,3/11/14,http://www.cgbrooke.net/2014/03/07/close-vs-distant-readings-rcdh14/
34,Glen Worthey,"Literary texts and the library in the digital age, or, How library DH is made",3/11/14,https://digitalhumanities.stanford.edu/literary-texts-and-library-digital-age-or-how-library-dh-made
35,Jim Groom,How the Web was Ghettoized for Teaching and Learning in Higher Ed?,3/13/14,http://bavatuesdays.com/how-the-web-was-ghettoized-for-teaching-and-learning-in-higher-ed/
36,Brian Croxall,The Red Herring of Big Data,3/13/14,http://www.briancroxall.net/2014/03/07/the-red-herring-of-big-data/
37,Paul Lovejoy and David Eltis,Biographies and Databases of Atlantic Slaves - 2 Podcasts,3/18/14,http://afripod.aodl.org/2014/01/afripod-79/
38,Jonathan Rochkind,“Code as Research Object.”,3/18/14,http://thenextweb.com/dd/2014/03/17/mozilla-science-lab-github-figshare-team-fix-citation-code-academia
39,Sheila Brennan,A Brief History of @MallHistories,3/20/14,http://www.lotfortynine.org/2014/03/check-out-mallhistories/
40,Miriam Posner,"Commit to DH people, not DH projects",3/20/14,http://miriamposner.com/blog/commit-to-dh-people-not-dh-projects/
41,Idea Channel PBS Digital Studios,Do We Need a Better Archive of the Internet?,3/20/14,https://www.youtube.com/watch?v=UoH3dlKZ-A0&list=PL69BD06CC757E1D61
42,TJ Owens,Digital Preservation’s Place in the Future of the Digital Humanities,3/25/14,http://feedproxy.google.com/~r/trevorowensblog/~3/eeQBog8Mw1U/
43,Ian Milligan,Preserving History as it Happens: The Internet Archive and the Crimean Crisis,3/27/14,http://activehistory.ca/2014/03/preserving-history-as-it-happens/
44,Trevor Owens,“Digital Culture is Mass Culture”: An interview with Digital Conservator Dragan Espenschied,4/1/14,http://blogs.loc.gov/digitalpreservation/2014/03/digital-culture-is-mass-culture-an-interview-with-digital-conservator-dragan-espenschied/
45,Dr. Martin Poulter,"Publishing scholarly papers with, and on, Wikipedia",4/1/14,https://blog.wikimedia.org.uk/2014/03/publishing-scholarly-papers-with-and-on-wikipedia/
46,John Robert Land,Current Developments in U.S. Copyright Law,4/3/14,http://lonewolflibrarian.wordpress.com/2014/03/31/current-developments-in-u-s-copyright-law-and-how-they-push-us-in-unanticipated-directions-03-31-14/
47,Simon Tanner,"When we share, do they care?",4/3/14,http://simon-tanner.blogspot.com/2014/04/when-we-share-do-they-care-using-impact.html
48,James Baker,Digital history and the death of quant,4/8/14,http://britishlibrary.typepad.co.uk/digital-scholarship/2014/04/digital-history-and-the-death-of-quant.html
49,Maureen Callahan,"THE VALUE OF ARCHIVAL DESCRIPTION, CONSIDERED",4/8/14,http://icantiemyownshoes.wordpress.com/2014/04/04/the-value-of-archival-description-considered/
50,Tom Scheinfeldt,The Dividends of Difference: Recognizing Digital Humanities' Diverse Family Tree/s,4/10/14,http://feedproxy.google.com/~r/FoundHistory/~3/8eGIJPbVqKA/
51,Lisa Spiro,Defining Digital Social Sciences,4/10/14,http://acrl.ala.org/dh/2014/04/09/defining-digital-social-sciences/
52,Joseph Kahne,New Media’s Role in Participatory Politics,4/15/14,http://dmlcentral.net/blog/joseph-kahne/new-media%E2%80%99s-role-participatory-politics
53,Walt Hickey,A Statistical Analysis of the Work of Bob Ross,4/17/14,http://fivethirtyeight.com/features/a-statistical-analysis-of-the-work-of-bob-ross/
54,Shannon Christine Mattern,LEBBEUS WOODS: THE POLITICS OF SMALL THINGS,4/22/14,http://www.wordsinspace.net/wordpress/2014/04/19/lebbeus-woods-the-politics-of-small-things/
55,Amanda Visconti,"My Digital Dissertation: Public Humanities, Participatory Design, and Infinite Ulysses",4/22/14,http://www.literaturegeek.com/2014/04/20/my-digital-dissertation-update/?utm_source=rss&utm_medium=rss&utm_campaign=my-digital-dissertation-update
56,Jasper Visser,Museums in times of social and technological change,4/24/14,http://themuseumofthefuture.com/2014/04/18/museums-in-times-of-social-and-technological-change/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TheMuseumOfTheFuture+%28The+Museum+of+the+Future%29
57,Roger Whitson,"On Several Scales of Reals and Realities, Archival or Digital or Otherwise",4/24/14,http://www.rogerwhitson.net/?p=2842
58,Joan Fragaszy Troyano and Lisa M. Rhody,"JOURNAL OF DIGITAL HUMANITIES 3.1, EXPLORING AND DESIGNING VIRTUAL WORLDS",4/29/14,http://journalofdigitalhumanities.org/3-1/
59,Micah Vandegrift,"Librarian, Heal Thyself: A Scholarly Communication Analysis of LIS Journals",4/29/14,http://www.inthelibrarywiththeleadpipe.org/2014/healthyself/
60,Cameron Neylon,"Fork, merge and crowd-sourcing data curation",5/1/14,http://cameronneylon.net/blog/fork-merge-and-crowd-sourcing-data-curation/
61,Jill Walker Rettberg,Is a network analysis of cited works bound to be biased?,5/1/14,http://feedproxy.google.com/~r/jilltxt/~3/ri56dGX7QhM/
62,Bianca Gelli,Readers Save Legacy Library Content by Crowdsourcing Metadata Games,5/20/14,http://www.gamification.co/2014/05/12/readers-save-legacy-content-by-crowdsourcing-metadata-games/
63,Lincoln Mullen,Mapping the Spread of American Slavery,5/20/14,http://lincolnmullen.com/blog/the-spread-of-american-slavery/
64,Craig Dalton and Jim Thatcher,"WHAT DOES A CRITICAL DATA STUDIES LOOK LIKE, AND WHY DO WE CARE?",5/22/14,http://societyandspace.com/material/commentaries/craig-dalton-and-jim-thatcher-what-does-a-critical-data-studies-look-like-and-why-do-we-care-seven-points-for-a-critical-approach-to-big-data/
65,Brian Sarnacki,The complete n00b’s guide to mapping in R,5/22/14,http://www.briansarnacki.com/n00bs-guide-to-mapping-in-r/
66,Christine Fruin,The State of Public Access in the United States,5/27/14,http://campuscopyright.wordpress.com/2014/05/14/the-state-of-public-access/
67,Stephen Robertson and Scott Paul McGinnis,Conversations About Digital History and the Digital Humanities,5/27/14,http://drstephenrobertson.com/2014/05/23/the-differences-between-digital-history-and-digital-humanities/
68,Joan Fragaszy Troyano,PressForward's Guide to Curating Scholarship from the Open Web,5/29/14,http://pressforward.org/guide-to-curating-scholarship-part-1/
69,Peter Christiansen,Counterfactual History and The Conquest of Paradise,5/29/14,http://www.playthepast.org/?p=4742
70,Melissa Terras,A Decade in Digital Humanities,6/3/14,http://melissaterras.blogspot.com/2014/05/inaugural-lecture-decade-in-digital.html
71,Jeannette Haagsma,Meaning and Perspectives in the Digital Humanities,6/5/14,http://feedproxy.google.com/~r/ehumanities/~3/m1-gfmbq_VM/
72,elotroalex,The (Digital) Library of Babel,6/10/14,http://elotroalex.webfactional.com/digital-library-babel/
73,Paige Morgan,How to get a digital humanities project off the ground,6/12/14,http://www.paigemorgan.net/how-to-get-a-digital-humanities-project-off-the-ground/
74,"Joan K. Lippincott, Harriette Hemmasi, and Vivian Marie Lewis",Trends in Digital Scholarship Centers,6/17/14,http://www.educause.edu/ero/article/trends-digital-scholarship-centers
75,Max Kemman,Grasping Technology,6/19/14,http://www.maxkemman.nl/2014/06/grasping-technology/
76,Nancy Maron,Sustaining the Digital Humanities Host Institution Support Beyond the Start-up Phase,6/24/14,http://sr.ithaka.org/research-publications/sustaining-digital-humanities
77,jannekeadema1979,Our Take On Disruption,6/24/14,http://openreflections.wordpress.com/2014/06/24/our-take-on-disruption/
78,Bill Benzon,DH: Computing the Literary Mind – Look at This!,6/26/14,http://new-savanna.blogspot.com/2014/06/dh-computing-literary-mind-look-at-this.html
79,Nina Simon,Adventures in Evaluating Participatory Exhibits: An In-Depth Look at the Memory Jar Project,6/26/14,http://feedproxy.google.com/~r/museumtwo/~3/F-dWzoFLUZ8/adventures-in-evaluating-participatory.html
80,Dan Colman,The Internet’s Own Boy: New Documentary About Aaron Swartz Now Free Online,7/1/14,http://feedproxy.google.com/~r/OpenCulture/~3/gN3G9uYceeY/the-internets-own-boy-free-online.html
81,Trevor Owens,Understanding Folk Culture in the Digital Age: An interview with Folklorist Trevor J. Blank,7/1/14,http://blogs.loc.gov/digitalpreservation/2014/06/understanding-folk-culture-in-the-digital-age-an-interview-with-folklorist-trevor-j-blank-pt-1/
82,Jeremy Leighton John,Open Source Digital Forensics Adapted for Archival and Memory Institutions,7/3/14,http://britishlibrary.typepad.co.uk/digital-scholarship/2014/06/open-source-digital-forensics-adapted-for-archival-and-memory-institutions.html
83,Mike Bostock,Visualizing Algorithms,7/8/14,http://bost.ocks.org/mike/algorithms/
84,Round up- David Golumbia,Round up - Reactions to the Facebook Emotional Contagion Study,7/10/14,http://www.uncomputing.org/?p=1530
85,Zeynep Tufekci,Round up - Reactions to the Facebook Emotional Contagion Study,7/10/14,https://medium.com/message/engineering-the-public-289c91390225
86,Danah Boyd,Round up - Reactions to the Facebook Emotional Contagion Study,7/10/14,http://www.zephoria.org/thoughts/archives/2014/07/01/facebook-experiment.html
87,Matthew Salganik,Round up - Reactions to the Facebook Emotional Contagion Study,7/10/14,https://freedom-to-tinker.com/blog/mjs3/after-the-facebook-emotional-contagion-experiment-a-proposal-for-a-positive-path-forward/
88,James Grimmelmann,Round up - Reactions to the Facebook Emotional Contagion Study,7/10/14,http://laboratorium.net/archive/2014/06/30/the_facebook_emotional_manipulation_study_source
89,David Hunter & Nicholas Evans,Round up - Reactions to the Facebook Emotional Contagion Study,7/10/14,https://app.simplenote.com/publish/WrHZm7
90,Jill,New paper: Visualising Networks of Electronic Literature: Dissertations and the Creative Works They Cite,7/10/14,http://feedproxy.google.com/~r/jilltxt/~3/IOxj6hgjNPg/
91,Daniel Paul O'Donnell,The credit line,7/15/14,http://people.uleth.ca/~daniel.odonnell/Blog/firs-thing-we-do-let-s-kill-all-the-authors
92,Christof Schöch,The right tool for the job: Five collaborative writing tools for academics.,7/15/14,http://blogs.lse.ac.uk/impactofsocialsciences/2014/04/04/five-collaborative-writing-tools-for-academics/
93,Jenny Davis,The legitimacy and usefulness of academic blogging will shape how intellectualism develops,7/15/14,http://blogs.lse.ac.uk/impactofsocialsciences/2013/05/08/the-place-of-blogs-in-academic-writing/
94,Bethany Nowviskie,Round Up - Digital Humanities 2014 Conference Papers,7/17/14,http://nowviskie.org/2014/anthropocene/
95,Jennifer Guiliano and Trevor Muñoz,Round Up - Digital Humanities 2014 Conference Papers,7/17/14,http://trevormunoz.com/notebook/2014/07/14/making-digital-humanities-work.html
96,Scott Kleinman,Round Up - Digital Humanities 2014 Conference Papers,7/17/14,http://scottkleinman.net/blog/2014/07/10/play-as-process-and-product-on-making-serendip-o-matic/
97,Mia Ridge,Round Up - Digital Humanities 2014 Conference Papers,7/17/14,http://openobjects.blogspot.com/2014/07/how-did-play-shape-design-and.html
98,No author.,The Europeana Network of Ancient Greek and Latin Epigraphy (Eagle) and lInked Open Data,7/17/14,http://www.digitalclassicist.org/wip/wip2014-05pl.html
99,Wikimaps,The Spatial in Digital Humanities.,7/22/14,http://wikimaps.wikimedia.fi/2014/07/17/the-spatial-in-digital-humanities/
100,Dan Scott,"On libraries, code, support, inspiration, and collaboration.",7/22/14,http://journal.code4lib.org/articles/9987
101,Digital Research Team,The British Library at Digital Humanities 2014,7/22/14,http://feedproxy.google.com/~r/digital-scholarship/~3/_3odExkIq18/digital-humanities-2014.html
102,Butch Lazorchak,Preserving Born Digital News at Digital Preservation 2014,7/22/14,http://blogs.loc.gov/digitalpreservation/2014/07/preserving-born-digital-news-at-digital-preservation-2014/
103,Shannon,Preservation Aesthetics,7/22/14,http://www.wordsinspace.net/wordpress/2014/07/18/preservation-aesthetics-my-talk-for-the-locs-digital-preservation-conference/
104,Birger Helgestad,Ur of the Chaldees: a virtual vision of Woolley’s excavations,7/24/14,http://blog.britishmuseum.org/2014/07/22/ur-of-the-chaldees-a-virtual-vision-of-woolleys-excavations/
105,Lauren Klein,TOME Project Talk at Digital Humanities 2014,7/24/14,http://dhlab.lmc.gatech.edu/news/talk-at-digital-humanities-2014/
106,Jason Heppler,First Draft Podcast: Humanities Savior Narrative,7/24/14,http://www.firstdraftpodcast.com/post/92555886158/s1e7-humanities-savior-narrative-glen-worthey
107,Matthew Kirschenbaum,"Software, It’s a Thing",7/29/14,https://medium.com/@mkirschenbaum/a550448d0ed3
108,Lisa Spiro,Defining Digital Social Sciences,7/31/14,http://acrl.ala.org/dh/2014/04/09/defining-digital-social-sciences/?utm_content=buffer360a4
109,Connected Learning,Building Trust in Connected Learning Series,8/5/14,http://dmlcompetition.net/resources/
110,Peter Christiansen,Dwarf NORAD: A Glimpse of Counterfactual Computing History,8/7/14,http://www.playthepast.org/?p=4892
111,Mike Ashenfelder,"Art is Long, Life is Short: the XFR Collective Helps Artists Preserve Magnetic and Digital Works",8/14/14,http://blogs.loc.gov/digitalpreservation/2014/07/art-is-long-life-is-short-the-xfr-collective-helps-artists-preserve-magnetic-and-digital-works/
112,mcruz,Paper Circuitry Illuminates ‘Writing as Making’,8/19/14,http://dmlcentral.net/blog/mia-c-zamora/paper-circuitry-illuminates-%E2%80%98writing-making%E2%80%99
113,Euan Cochrane,Emulation as a Service (EaaS) at Yale University Library,8/21/14,http://blogs.loc.gov/digitalpreservation/2014/08/emulation-as-a-service-eaas-at-yale-university-library/
114,Trevor Owens,Where to Start? On Research Questions in The Digital Humanities,8/26/14,http://www.trevorowens.org/2014/08/where-to-start-on-research-questions-in-the-digital-humanities/
115,David Berry,On Latour’s Notion of the Digital,8/28/14,http://stunlaw.blogspot.com/2014/08/on-latours-notion-of-digital.html
116,Ed Summers,On Archiving Tweets,9/2/14,http://inkdroid.org/journal/2014/08/31/on-archiving-tweets/
117,Shawn,Historical Maps into Minecraft: My Workflow,9/2/14,http://electricarchaeology.ca/2014/08/21/historical-maps-into-minecraft-my-workflow/
118,Trevor Owens and David A. Shamma,What Do You Do With 100 Million Photos? David A. Shamma and the Flickr Photos Dataset,9/4/14,http://blogs.loc.gov/digitalpreservation/2014/08/what-do-you-do-with-100-million-photos-david-a-shamma-and-the-flickr-photos-dataset/
119,Liz Losh,"Respect, Niceness, and Generosity",9/9/14,http://virtualpolitik.blogspot.com/2014/08/respect-niceness-and-generosity.html
120,Corey Milne,Preserving History in Gran Turismo,9/11/14,http://www.playthepast.org/?p=4938
121,Mia Ridge,Helping us fly? Machine learning and crowdsourcing,9/11/14,http://feedproxy.google.com/~r/OpenObjects/atom/~3/JRPBHypy2i4/helping-us-fly-machine-learning-and.html
122,Lutz Bornmann,Which Kind of Papers has Higher or Lower Altmetric Counts?,9/16/14,http://arxiv.org/abs/1409.2863
123,Bob Nicholson,Finding Jokes for the Victorian Meme Machine,9/16/14,http://britishlibrary.typepad.co.uk/digital-scholarship/2014/09/finding-jokes-the-victorian-meme-machine.html
124,Shannon Christine Mattern,"SCAFFOLDING, HARD AND SOFT: INFRASTRUCTURES AS CRITICAL AND GENERATIVE STRUCTURES",9/18/14,http://www.wordsinspace.net/wordpress/2014/09/18/scaffolding-hard-and-soft-infrastructures-as-critical-and-generative-structures/
125,Miriam Posner,Here and There: Creating DH Community,9/23/14,http://miriamposner.com/blog/here-and-there-creating-dh-community/
126,Craig Bellamy,Open Government Data: Possibilities and Problems,9/23/14,http://feedproxy.google.com/~r/craigbellamy/~3/xnOMsbvyr9k/
127,Paul Ford,The Great Works of Software,9/23/14,https://medium.com/message/the-great-works-of-software-705b87339971
128,Jim Ambuske,Visualizing Early America through MapScholar and Beyond,9/30/14,http://scholarslab.org/geospatial-and-temporal/visualizing-early-america-through-mapscholar-and-beyond/
129,Clay Shirky,Why I Just Asked My Students To Put Their Laptops Away…,9/30/14,https://medium.com/@cshirky/why-i-just-asked-my-students-to-put-their-laptops-away-7f5f7c50f368
130,Eric Favaloro,The Internet of Things for the Masses: Increasing Engagement in a Digitized World,10/2/14,http://www.gamification.co/2014/10/01/internet-of-things-for-the-masses-increasing-engagement-in-a-digitized-world/
131,Jeremy John,Applying Forensics to Preserving the Past: Current Activities and Future Possibilities,10/2/14,http://feedproxy.google.com/~r/digital-scholarship/~3/yW7BJUirS8U/first-digital-lives-research-workshop-2014-at-the-british-library.html
132,Charles Jones,"Opening up Classics and The Humanities: Computation, The Homer Multitext Project and Citizen Science",10/2/14,http://ancientworldonline.blogspot.com/2014/09/opening-up-classics-and-humanities.html
133,Laura Sydell,The Forgotten Female Programmers Who Created Modern Tech,10/7/14,http://www.npr.org/blogs/alltechconsidered/2014/10/06/345799830/the-forgotten-female-programmers-who-created-modern-tech
134,Shankar Vedantam,Certain English Errors May Decipher Clues To Dying Languages,10/7/14,http://www.npr.org/2014/09/30/352661301/certain-english-errors-may-decipher-clues-to-dying-languages
135,Melissa Terras,Reuse of Digitised Content,10/9/14,http://melissaterras.blogspot.com/2014/10/reuse-of-digitised-content-1-so-you.html
136,Kaitlin Wainwright,Consider the Comments,10/9/14,http://feedproxy.google.com/~r/Activehistoryca/~3/SFZt-UmmwQA/
137,Douglas Duhaime,Classifying Shakespearean Drama with Sparse Feature Sets,10/14/14,http://douglasduhaime.com/blog/classifying-shakespearean-drama-with-sparse-feature-sets
138,David Weinberger,"A Good, Dumb Way to Learn From Libraries",10/16/14,http://chronicle.com/blogs/conversation/2014/10/07/a-good-dumb-way-to-learn-from-libraries/
139,Jim Clifford,London’s Text Mined Hinterlands for the Social Science History Association,10/21/14,http://www.jimclifford.ca/2014/10/15/londons-text-mined-hinterlands-for-the-social-science-history-association/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+JimClifford+%28Jim+Clifford%27s+Environmental+History+Website%29
140,Rich Donohue,On the Political Economy of the GeoJSON Format,10/21/14,https://medium.com/@rgdonohue/on-the-political-economy-of-the-geojson-format-8e7f38b9f5d8
141,Corey Davis,Archiving the Web: A Case Study from the University of Victoria,10/23/14,http://journal.code4lib.org/articles/10015
142,Peter Christiansen,Excavating Code: An Archaeological Record of Software Development,10/23/14,http://www.playthepast.org/?p=4982
143,Jill Walker Rettberg,Academic Outreach is Click Bait,10/28/14,http://feedproxy.google.com/~r/jilltxt/~3/iEJp6EOceX8/
144,Michelle Moravec,The Digital History of the History of Woman Suffrage,10/28/14,http://historyinthecity.blogspot.com/2014/10/the-digital-history-of-history-of-woman.html
145,Benjamin M. Schmidt,Building Topic Models into Bookworm Searches,10/30/14,http://benschmidt.org/2014/09/23/building-topic-models-into-bookworm-searches/
146,Kris Shaffer,Social Academia,11/4/14,http://kris.shaffermusic.com/2014/11/social-academia/
147,Geoffrey Rockwell,"Is GamerGate About Media Ethics or Harassing Women? Harassment, the Data Shows",11/4/14,http://theoreti.ca/?p=5554
148,Jonathan Sterne,New Text (a lot of it): Temperature and Media Studies,11/4/14,http://superbon.net/?p=2686
149,Bethany Nowviskie,johannes factotum & the ends of expertise,11/4/14,http://nowviskie.org/2014/johannes-factotum/
150,Karen Smith-Yoshimura,HangingTogether: Synchronizing metadata among different databases,11/6/14,http://feedproxy.google.com/~r/Hangingtogetherorg/~3/Ds4p6N_ByQI/
151,Joan Fragaszy Troyano and Lisa M. Rhody,JDH 3.2 Digital Contexts,11/6/14,http://journalofdigitalhumanities.org/3.2
152,Shawn Graham,Topic Modeling Time and Space: Archaeological Datasets as Discourses,11/11/14,http://digitalarchaeology.matrix.msu.edu/topic-modeling-time-and-space-archaeological-datasets-as-discourses/
153,Patrick Meier,Computing Research Institutes as an Innovation Pathway for Humanitarian Technology,11/11/14,http://irevolution.net/2014/11/10/computing-research-institutes-innovation-pathway/
154,Tim Hitchcock,"Big Data, Small Data and Meaning",11/13/14,http://historyonics.blogspot.com/2014/11/big-data-small-data-and-meaning_9.html
155,Seb Chan,The API at the center of the museum,11/13/14,https://labs.cooperhewitt.org/2014/the-api-at-the-center-of-the-museum/
156,Bethany Nowviskie,Round Up - The Future of Digital History,11/18/14,http://nowviskie.org/2014/speculative-computing/#more-2557
157,William G. Thomas III,Round Up - The Future of Digital History,11/18/14,http://railroads.unl.edu/blog/?p=1146
158,David Crotty,"“Nevermind the Data, Where Are the Protocols?”",11/20/14,http://scholarlykitchen.sspnet.org/2014/11/18/nevermind-the-data-where-are-the-protocols/
159,Shawn Graham,Text Analysis of the Grand Jury Documents,12/2/14,http://electricarchaeology.ca/2014/11/26/text-analysis-of-the-grand-jury-documents/
160,Peter Christiansen,"Beyond Trees: Tech Webs, ANTs, and Black Boxes",12/2/14,http://www.playthepast.org/?p=5030
161,Roger Travis,"MOBA meta and the Muses: professionalism, performance, and meta-game discourse",12/4/14,http://www.playthepast.org/?p=5060
162,Jentery Sayers and Laura Miller,Jentery Sayers on Remaking the Past,12/9/14,http://scholarslab.org/podcasts/podcast-jentery-sayers-on-remaking-the-past/
163,Patrick Meier,Social Media Generates Social Capital: Implications for City Resilience and Disaster Response,12/9/14,http://irevolution.net/2014/12/03/social-media-generates-social-capital/
164,William Thomas,"Why the Digital, Why the Digital Liberal Arts?",12/11/14,http://railroads.unl.edu/blog/?p=1149
165,Christopher Sawula,"Valiant Hearts, The Great War, and The Shaping of Historical Memory",12/11/14,http://www.playthepast.org/?p=5063
